Feature,IG Score,MI Score
URLSimilarityIndex,0.9699851609521253,0.6805297695100546
LineOfCode,0.028578673292608273,0.6008866993235078
IsHTTPS,0.0012856168416110758,0.2578944568407582
URLLength,0.0,0.16845380815488875
TLDLegitimateProb,0.0,0.1978547776854045
CharContinuationRate,0.0,0.1727458466114069
LetterRatioInURL,0.0,0.38121968187253796
NoOfDegitsInURL,0.0,0.17024104646209315
DegitRatioInURL,0.0,0.17222478598041713
NoOfOtherSpecialCharsInURL,0.0,0.24236195588419318
SpacialCharRatioInURL,0.0,0.20564491070991675
LargestLineLength,0.0,0.48918698637712676
